id,industry
00001,yogastudios
00002,pilates-studios
00003,crossfit-boxen
00004,personal-trainer
00006,boulderhallen-software
00007,tanzstudios
00008,kampfsportschulen
00009,padel-tennis-training
00010,golf-training
00011,reitschulen
00012,toepferwerkstaetten
00013,malschulen
00015,fotoschule
00016,schauspielschulen
00017,musikschul-software
00018,dj-schulen
00019,schreibwerkstaetten
00020,kochschulen
00021,backschulen
00022,barista-kurse
00023,weinseminare
00024,bierbraukurse
00025,massagestudios
00026,wellness-retreats
00027,meditationszentren
00028,ernaehrungsberatung-software
00029,nagelstudios
00030,hundesalons
00031,friseursalons
00032,escape-room-buchungssystem
00033,lasertag-arenen
00034,vr-arcades
00035,stadt-rallye-anbieter
00036,alpaka-wanderungen
00037,quad-touren
00038,segway-touren
00039,heissluftballonfahrten
00040,trampolinhallen
00041,minigolfanlagen
00042,business-coaching
00043,life-coaching
00044,it-support-training
00045,bewerbungstrainer
00046,steuerberater
00047,anwaltskanzleien
00048,hundeschulen
00049,erste-hilfe-hund
00050,baby-massage-kurse
00051,geburtsvorbereitungskurse
00052,rueckbildungsgymnastik
00053,babyschwimmkurse
00054,selbstverteidigungskurse
00055,pilz-exkursionen-software
00056,kraeuterwanderungen
00057,falknereien
00058,kitesurfschulen
00059,windsurfschulen
00060,tauchschulen
00061,angelguiding-software
00062,stand-up-paddling
00063,kajak-kanu-verleih
00064,paintball-buchungssystem
00065,go-kart-bahn
00066,flugsimulatoren-zentren
00067,rennstrecken-trainings
00068,schlittenhundefahrten
00069,eisstockbahn
00070,bogenschiessen
00071,drohnen-flugschulen
00072,barkeeper-fortbildungen
00073,barkeeper-schulungen
00074,barkeeper-weiterbildung
00075,cocktail-mischkurse
00076,sushi-zubereitungskurse
00077,floristik-workshops
00078,kalligrafie-kurse
00079,schmiedekurse
00080,glasblaeserei-workshops
00081,parfuem-erstellungsworkshops
00082,persoenlichkeitsentwicklung-seminare
00083,rhetorik-trainer
00084,gedaechtnistraining-kurse
00085,knigge-seminare
00086,physiotherapie-praxen
00087,ergotherapie-praxis-software
00088,logopaedie-praxis
00089,heilpraktiker-praxen
00090,ernaehrungs-diaetberatung
00091,personal-stilberatungen
00092,farb-und-typberatungen
00093,axtwurf-kurse
00094,goldschmiede-kurse
00095,silber-schmuck-workshops
00096,parkour-freerunning
00097,zirkusschulen
00098,kitesurfen
00099,rennrad-software
00100,waldseilgarten-kletterpark
00101,rafting-canyoning-touren
00102,hundepensionen-tagesstaetten
00103,katzenpensionen
00104,aquascaping-workshops
00105,bonsai-gestaltungskurse
00106,gartenplanungs-beratungen
00107,ueberlebenstrainings
00108,lawinensicherheitskurse
00109,sportbootfuehrerschein-kurse
00110,drohnen-reparatur-services
00111,lasercutting
00112,musikproduktion
00113,podcast
00114,synchronsprech-workshops
00115,gebaerdensprachkurse
00116,nachhilfe-institute
00117,pruefungsvorbereitungskurse
00118,speed-reading-kurse
00119,meditations-retreats
00120,vipassana-software
00121,schweige-retreats
00122,entspannungskurse
00123,mbsr-achtsamkeit
00124,hypnose-software
00125,familienaufstellungen
00126,mediation-konfliktloesung
00127,stimm-sprechtraining
00128,praesentations-rhetorik-coaching
00129,lachyoga
00130,eisbaden
00131,atemtherapie-software
00132,floating-tanks
00133,kryotherapie
00134,salzgrotten
00135,hoerakustiker
00136,sehtests
00137,optiker
00138,medizinische-fusspflege-podologie
00139,dentale-prophylaxe-zentren
00140,bleaching-studios
00142,piercing-studios
00143,haarentfernung-waxing-sugaring
00144,kosmetische-zahnaufhellung
00145,kaminkehrer
00146,energieberater-sprechstunden
00147,architekten
00148,innenarchitektur
00149,kfz-aufbereitungsdienste
00150,hu-au-software
00151,fahrrad-reparaturwerkstaetten
00152,skiservice-werkstatt
00153,instrumenten-reparaturwerkstaetten
00154,naehkurse
00155,strick-haekelkurse
00156,moebel-upcycling-workshops
00157,heimwerkerkurse-fuer-frauen
00159,smart-home-installationsberatung
00160,wertgutachter-immobilien
00161,kunst-antiquitaeten-schaetzungen
00162,testamentsvollstrecker-sprechstunden
00163,schuldnerberatungsstellen
00164,vereins-und-mitgliederversammlungen
00165,freiwillige-feuerwehren-schulungen
00166,thw-ortsverbaende
00167,co-working-spaces
00168,gaming-lounge-e-sport
00169,simulations-zentren
00170,billard-snooker
00172,wochenmarkt-standplatz
00173,schaustellerbetriebe
00174,mobile-saunen
00175,djs-hochzeiten-events-buchen
00176,hochzeits-eventplaner-beratungen
00177,schloss-burg-fuehrungen
00178,sternwarten-fuehrungen
00179,brautmodengeschaefte
00180,frauen-friseursalons
00181,barbershops
00183,hochzeitsfotografie
00184,neugeborenen-fotografie
00185,tierfotografie
00186,produktfotografie
00187,video-editing
00188,social-media-management
00189,seo-und-sem
00190,content-marketing
00191,affiliate-marketing
00192,livestreaming
00193,livestreaming-einsteigerkurs
00194,ux-ui-design
00195,programmier-bootcamps
00196,programmieren-fuer-kinder
00197,coding-fuer-kinder
00198,robotik-clubs
00199,start-up-gruendungsseminare
00200,verhandlungsfuehrung
00201,zeitmanagement-produktivitaet
00202,burnout-praevention
00203,resilienz-trainings
00204,interkulturelle-kompetenz
00205,leadership-software
00206,projektmanagement
00207,agile-scrum-master-kurse
00208,moderations-facilitation-trainings
00209,schreibtherapie
00210,trauerbewaeltigung
00211,schlafcoaching-software
00212,babyschlaf-beratungen
00213,beikost-einfuehrungskurse
00214,starke-vaeter-kurse
00215,pubertaets-vorbereitungsworkshops
00216,lerncoaching
00217,montessori-paedagogik-einfuehrungskurse
00218,waldpaedagogik
00219,gewaltfreie-kommunikation
00221,ahnenforschungs-seminare
00222,suetterlin-kurrent-lesekurse
00223,buchbinde-workshops
00224,papierschoepf-kurse
00225,kerzenzieh-workshops
00226,seifenherstellungs-kurse
00227,makramee-knuepfkurse
